sample,node,dim,train_min_px,train_max_px,train_mean_px,test_min_px,test_max_px,final_test_px,final_outside_train_px,max_test_outside_train_px,max_test_outside_time_s,emphasized_node
sample_3,10,y,1294.8379675331796,1458.540316090112,1372.7940308633774,1292.6064455913797,1461.0528314238952,1382.8882152513381,0.0,2.5125153337833126,21.05436658859253,False
sample_3,11,x,2724.649458278137,2894.7165827120693,2811.4743962924204,2740.797728117697,2889.133702277831,2844.120859895027,0.0,0.0,14.948266744613647,False
sample_3,11,y,1331.64070868547,1411.2924028389823,1370.0794847378086,1345.5559563066777,1397.639604191559,1374.1042760137013,0.0,0.0,14.948266744613647,False
sample_3,12,x,1013.1088911389962,1015.4578047601788,1014.5967053092361,1013.6639553169567,1015.4828221191168,1015.0285893469857,0.0,0.0250173589380438,23.356666803359985,True
sample_3,12,y,2019.950290545066,2021.5125906648352,2020.7119566076185,2019.8643329598438,2021.2880055914056,2020.121949454565,0.0,0.08595758522233155,24.691333293914795,True
sample_3,13,x,1646.472180110139,1731.1109146241158,1691.37238425817,1653.6547066547064,1725.5910533163399,1701.0402078492125,0.0,0.0,14.948266744613647,False
sample_3,13,y,1853.207562019272,2013.7068392110373,1927.6507574863565,1855.5487612460313,2007.312993727528,1931.5026077975726,0.0,0.0,14.948266744613647,False
sample_3,14,x,2209.714803772517,2282.0616738431454,2249.3271219451617,2217.8639396748385,2278.564694991038,2258.24744522722,0.0,0.0,14.948266744613647,False
sample_3,14,y,1869.1452481203996,2016.671073185972,1936.3062493387017,1865.0976160076739,2016.9997071513637,1947.3192949859358,0.0,4.047632112725751,16.783433437347412,False
sample_3,15,x,2915.78934204217,2917.3981685195636,2916.7044567184043,2915.8161518349957,2917.1867103536965,2916.91391994626,0.0,0.0,14.948266744613647,True
sample_3,15,y,2016.7097010332652,2017.7352081384472,2017.1573462317322,2016.4829039963845,2017.7264565314138,2016.8625767822195,0.0,0.2267970368807255,24.858166694641113,True
sample_4,0,x,813.3880835959288,1171.6546979020475,1036.4285243322238,794.017382212638,1267.5910379830436,1011.8367965180172,0.0,95.93634008099616,19.419399976730347,False
sample_4,0,y,178.14990534188493,183.705003599712,180.8906111743036,177.46644517316764,183.58131186772545,182.81405084157558,0.0,0.6834601687172892,21.32130002975464,False
sample_4,1,x,1517.1166277383732,1771.6459835186465,1670.3264339066902,1512.0188308155834,1824.6466226447492,1671.4066267878864,0.0,53.00063912610267,19.419399976730347,False
sample_4,1,y,199.2456961025033,370.8863605732513,285.5775946314074,206.89806272409052,377.2771903154412,306.4130836950497,0.0,6.390829742189908,21.05436682701111,False
sample_4,2,x,2168.494513866638,2301.3937400622945,2246.9954191189017,2173.4078938181615,2309.693288389513,2251.8846864700386,0.0,8.299548327218417,21.42140007019043,False
sample_4,2,y,208.31821518003628,387.1310413213131,291.4152062220723,206.44313844333325,392.5084655248926,315.99351365786123,0.0,5.377424203579494,21.05436682701111,False
sample_4,3,x,2867.8646836002285,2869.959716756177,2869.1592979620814,2868.1078554879814,2869.896631039712,2869.469587856899,0.0,0.0,14.948266744613647,True
sample_4,3,y,176.33091399017775,177.49740256917426,176.8683314294322,176.44067452107697,177.26868787924923,176.62137661452326,0.0,0.0,14.948266744613647,True
sample_4,4,x,980.0429597125235,1222.3601100837564,1128.3606886215828,995.3685083720216,1277.4901847780457,1147.440951374207,0.0,55.130074694289306,19.419399976730347,False
sample_4,4,y,783.9648466768905,861.3270481604027,826.0035256640418,792.099413088065,853.8583604127472,835.1306131078225,0.0,0.0,14.948266744613647,False
sample_4,5,x,1570.992236057784,1784.9901759295697,1696.0329210680702,1584.703731772697,1814.1209277673263,1723.9635972779818,0.0,29.130751837756634,19.419399976730347,False
sample_4,5,y,769.865602200952,939.0781214593246,849.6392549424228,766.0358349369254,941.2623543355196,870.1126747529967,0.0,3.8297672640266,17.11710000038147,False
sample_4,6,x,2104.248998006505,2309.0895156813767,2218.457789894861,2125.3282627544827,2304.31018651363,2244.4353532629366,0.0,0.0,14.948266744613647,False
sample_4,6,y,750.3232285220494,931.144558962281,837.6005693524214,753.6520937135588,934.5819503057602,868.3951759572363,0.0,3.4373913434791348,21.05436682701111,False
